APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CDKN2A	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	PTPN22	PTPRD	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
NF1	-0.122821205328602	0.0811453831141943	0.0259799185774291	0.016615521639309	0.0664258099242895	0.0606086874508858	-0.132578287984851	-0.0536030628886999	-0.0618407589180456	-0.0731950699002095	-0.0144525514543678	0	-0.00914887129547879	0.0418895861354581	0.0650706025692866	-0.0961228071301586	0.0640917024293757	-0.06125199341728	-0.0183540519526727	-0.0231026470422246	0	-0.137930099810458	0.0871724087063406	0.0980803249641409	-0.103021707385458	0.122346248377741	-0.000791339892728118	-0.146960374713278
PTEN	-0.0585149138591571	0.12334015111496	0.0317074262892438	-0.0321523730359875	-0.00710905092334614	-0.100167501607348	-0.0603683193034087	0.0182027018128455	-0.0657268503770435	-0.0565635686419279	0.139853595359467	0	-0.0925810069529941	0.0541511924828507	-0.0781536316041777	0.00617357401564477	0.0598866984247764	-0.0614353681971722	-0.0871241005380407	-0.0205226698734925	0	-0.0632453290800155	0.00468547920501719	0.0197189510648574	0.0160785658471591	0.00637133250486805	0.128455262731347	-0.112384297164972
PTPN22	-0.00227552577123514	0.031513864718901	-0.0156766164318972	-0.181008649198953	0.0237233472402161	-0.00377040247678585	0.0592398481693747	0.0609181170846961	-0.157158398814162	-0.107002466261999	0.129863000808045	0	-0.0568199304096711	0.05680779728885	-0.101963425707487	-0.0366448638072713	-0.00282082581841234	-0.00783908457388224	0.0635262094992288	0.0450870506001102	0	-0.0442818400331449	0.036165920921264	0.0655883923115007	0.01429490477299	0.115318072831367	0.0533135774097687	0.118182296133644
PTPRD	-0.0254521051690734	0.0370032104390839	0.00178219620800447	-0.00224680386589242	0.00392624085312874	-0.0100954727435419	-0.0687807650188905	0.0499090663002943	-0.0151804499939426	-0.0277532680933293	-0.10535661054693	0	0.0185309639775794	0.0794530832450778	-0.0850949167812227	0.0607100004480813	0.170591125057225	0.0241504247768241	0.00661631430511464	-0.0220604595855667	0	-0.106482721725949	0.0770057817074605	0.0950019412912148	-0.0337859197496723	0.0381668619298077	-0.0244531802554765	-0.11074265442093
RAD51	0.00804368726057993	-0.0548455840210958	0.0140069674914126	-0.105485674071627	-0.00180924149534712	-0.101925848045866	-0.0234699571324922	-0.0975892650505218	-0.020288182274051	0.00100057017063536	0.0382800624924074	0	0.0216217437897041	-0.050980212325156	0.000424141861913411	-0.0172414136330534	0.0531499014600581	-0.119204974428367	0.0012554610545758	-0.0255085957975499	0	-0.0882212713979895	-0.0423655435606287	-0.0956307176023228	0.0283481023068266	-0.0124929777259439	0.0915200900047238	-0.059143531005873
RB1	-0.0481812436249452	0.0718481203898379	0.00723405549248543	-0.0215642835098648	-0.0345943825662422	0.0850321828663576	0.00489650752216327	0.0899762350195979	0.142572188662313	0.0548405738884202	-0.0301206596111465	0	0.0335804434299347	0.025717513369953	0.0189204996565453	0.174808938480605	0.00336831784360829	-0.0273305496102821	-0.0229527911305814	-0.026306672547842	0	-0.0478015571150059	-0.137349020859148	-0.0298367044298737	0.0190160972430076	0.0356779312539833	-0.0170114827903552	0.0698875939672225
RUNX1	-0.00883068327823608	0.117449058019885	-0.010658341792832	0.0411523963740098	0.00128881125268049	-0.0383736170578665	0.00816443987891557	-0.0628217967477649	0.00290146799210928	-0.0217551033305753	0.0213464263112404	0	-0.0742831940549162	-0.00776947103290319	-0.115769377546467	0.0536185739948562	0.0940786684358491	0.104303896146072	0.117056630211097	-0.0210124223545429	0	-0.103029672006284	-0.162377190027245	0.0990691791001287	-0.0404113463946612	0.0125231100654026	0.0728865972780843	-0.049486224310519
SETD2	0.0179177569624294	0.154577855728029	-0.0744870161071797	-0.059937386847974	-0.100801300810746	-0.0837403442310426	-0.0592099953716553	-0.110638422499882	-0.0593286772366934	0.090641429326571	-0.0388863800378841	0	0.0138456282365562	-0.0593280613404098	-0.113924827700142	-0.0561941583314295	0.0703864349660045	-0.119233014169817	0.0455984024156953	-0.0172676169321477	0	-0.0815051431871933	0.246794059575634	0.208305440019056	-0.0958633041808879	0.00423011246384559	0.0124270772310657	-0.100411666926612
STK11	0.0691692236862767	0.0256182074119008	-0.0154140890511088	0.0367367093197558	0.0104987057927215	-0.0647763432823882	-0.0613505335768343	-0.0709281377585536	0.0428117694503487	0.0459930602209356	-0.102458594324553	0	-0.161086288273119	-0.00245782310838573	-0.142310756521726	0.0106776943804487	0.133632648219128	0.0465902631118861	0.0448084926323257	-0.0183741442121742	0	-0.102131687585672	0.0101748970441291	0.0733719047354982	-0.0677314880563626	-0.143253411057048	0.0475535800442105	-0.125892422708862
TP53	-0.0756860149360816	0.209363817278292	0.105902510414925	-0.123314213568883	0.0914586684074602	0.450042392516742	0.806304078846195	0.681529687391972	0.105851555135805	0.221802557887933	0.0965080828080241	0	0.27788915551912	0.221614185782588	0.20129606181634	0.0797125697462011	0.0549381795395625	0.0780956512351387	0.0433144259505493	0.0295281356730995	0	0.728165843494417	0.0777313689714835	0.13400056438341	0.150641416136775	0.058429231435262	-0.00761873192532436	1.43599792467161
