Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
NF1	-0.109557569681916	0.0489404099453376	0.0205107232265543	0.00316337907625749	0.0560779528537788	0.0663398198277572	-0.100886421510203	-0.0179805937253301	-0.0390938255645961	-0.0694860072686468	0.0153199325627643	-0.0123790484754707	0.0252636813740496	0.0726091187696846	-0.0671935727875809	0.0796563901878815	-0.0610519466150316	-0.0266730993933813	-0.0631833457124091	0.0420069775779175	0.0865011027840928	-0.0953970257338084	0.0979552129568361	0.00394119671397496	-0.110078079976205
PTEN	-0.0296393182649873	0.121696561719178	0.0388619418087547	-0.0262680775649154	-0.00609779958201024	-0.0845923940465622	-0.072958490791985	-0.0072789601882022	-0.0630093345672521	-0.0482825915361841	0.0894312811335175	-0.0771662550569748	0.0663539904231194	-0.0665594912425222	0.0117448243525113	0.0602779038724215	-0.0497396034581373	-0.0758382601919265	-0.0489510211700199	0.0049828535106615	0.0146715601934988	0.0120413062627408	0.011308731678983	0.112970560354916	-0.0813069427253295
PTPN22	0.00205178016147652	0.0533887553579246	-0.0150776434227764	-0.171160524951122	0.0215088603491456	-0.0147789375325041	0.0447997228654368	0.0318519113626607	-0.121339318772835	-0.0808779621460032	0.140156870854388	-0.0223256351679742	0.048344156086478	-0.0769219337215258	-0.0143764781857004	0.00230979035591759	-0.0178488660438498	0.0767814229692295	-0.0155028854624127	0.0197458153715859	0.0482753135373149	0.0141496662268685	0.0970195230882964	0.0532540535133579	0.102404646688634
PTPRD	-0.0374575940183549	0.0262067190151879	0.010725657593702	-0.00824738734257245	0.00635572316114707	-0.019426586649624	-0.0452005013598438	0.0387933653790546	-0.031407975162114	-0.0124309147624998	-0.0718646070221445	-0.000447421818393472	0.087024116583938	-0.0635714933673869	0.0697794640544026	0.151895606077072	0.0123483268771353	0.0132649678555671	-0.0624865084058683	0.0638981579906334	0.0877832988418432	-0.023140080846924	0.0415687738364603	-0.0098026078825974	-0.0677425724491936
RAD51	-0.00721091171631923	-0.0381241293115146	0.0160246571922419	-0.0957187183846543	-0.0254383218479446	-0.0870646441247916	-0.031377652955831	-0.0541862853032022	-0.0356595532124676	-0.00105153601586824	0.0290318707524295	0.0268544552292134	-0.022932607526619	0.0140301292764101	-0.00236608086251451	0.071065311834651	-0.11983261739343	0.0034936060415967	-0.0296994214423014	-0.0265700535330793	-0.079291090233606	0.0186163665848355	-0.0190026332122531	0.0619233952076109	-0.0490440520525023
RB1	-0.0129572411121708	0.0732392455132703	0.00905724555345513	-0.00406209307603823	-0.0244809652000496	0.0868134954247801	-0.0229309722699448	0.0749618825310974	0.140099290146241	0.072958011805207	0.00428431663263131	0.0206957282528569	0.0295285414147389	0.0198550553725314	0.170296781706405	0.0157970065486685	-0.0263346333950835	-0.00551220185534534	-0.0389373168280498	-0.107768294322617	-0.0204142752838972	0.0239435938071382	0.0348561802573218	0.00206646100135112	0.0480123010139334
RUNX1	-0.0068911221019225	0.0965017137077234	-0.00686630972934714	0.0504209578436705	-0.00908117428391953	-0.019023538671837	-0.0188477098876973	-0.034600029675609	0.0101507078504737	-0.00380790853269586	-0.0133030429091695	-0.0562772480994307	-0.00912052630156207	-0.0854796693626744	0.0547958376388749	0.0907599387427744	0.0893192915420233	0.0984963699279483	-0.0578651111706182	-0.137683231605514	0.0881650710360057	-0.0352681923025247	0.0160291709702845	0.0557434898018882	-0.0521712809691019
SETD2	0.0211521211217381	0.153103100540811	-0.0605044339053609	-0.0420540599291742	-0.107598603748473	-0.0774423703296036	-0.060413056453263	-0.0495793965704149	-0.0435474980422986	0.0708107123934968	-0.0383585639994362	0.00928771578826953	-0.0704916045753375	-0.100315991813228	-0.0432438705706672	0.0692097473955123	-0.120580393267248	0.0724784331575335	-0.0229198459506113	0.222196532011482	0.193093049683728	-0.0684942799078312	-0.00855040164162596	0.019171721701795	-0.0743334082951933
STK11	0.0777471696226337	0.0186753728822722	-0.00723736688012008	0.0341577652473939	0.0023285340402402	-0.054465592839136	-0.0540198537075979	-0.0422726856221159	0.0433000860237302	0.0507930247269154	-0.063567698417581	-0.153785912836215	-0.00116118246706104	-0.111263560329565	0.0259663394265662	0.137026091705269	0.0407090330512972	0.019809953199741	-0.0475283028899603	0.0185411647054739	0.0733443244807707	-0.0465834739684202	-0.13607352463308	0.044028541371592	-0.098383326034816
TP53	-0.0511624339469572	0.202335825168515	0.110503212158203	-0.106357941974494	0.0951772095802352	0.416526502528196	0.570683643383473	0.415291199507076	0.100083231463214	0.203791302318455	0.105179150640947	0.252195789206203	0.226596218764317	0.209339311613989	0.0800231577419238	0.0505592940182726	0.0790060536022305	0.0571953400010802	0.230728281552929	0.0768385476831898	0.135747156913628	0.146728579043718	0.0743982107971223	0.000950849452944139	1.00604423214914
